SpatialScale,TimeScale,Gas,AOD,BestModel
E,daily,Y,Y,xgboost
E,daily,N,Y,lgbm
E,daily,Y,N,xgboost
E,Monthly_D,Y,Y,extra_tree
E,Monthly_D,N,Y,extra_tree
E,Monthly_D,Y,N,extra_tree
E,Monthly,Y,Y,catboost
E,Monthly,N,Y,lgbm
E,Monthly,Y,N,catboost
S,daily,Y,Y,lgbm
S,daily,N,Y,xgboost
S,daily,Y,N,lgbm
S,Monthly_D,Y,Y,xgboost
S,Monthly_D,N,Y,extra_tree
S,Monthly_D,Y,N,extra_tree
S,Monthly,Y,Y,xgboost
S,Monthly,N,Y,catboost
S,Monthly,Y,N,catboost
W,daily,Y,Y,lgbm
W,daily,N,Y,lgbm
W,daily,Y,N,xgboost
W,Monthly_D,Y,Y,xgboost
W,Monthly_D,N,Y,extra_tree
W,Monthly_D,Y,N,extra_tree
W,Monthly,Y,Y,catboost
W,Monthly,N,Y,catboost
W,Monthly,Y,N,lgbm
N,daily,Y,Y,lgbm
N,daily,N,Y,lgbm
N,daily,Y,N,xgboost
N,Monthly_D,Y,Y,catboost
N,Monthly_D,N,Y,catboost
N,Monthly_D,Y,N,extra_tree
N,Monthly,Y,Y,catboost
N,Monthly,N,Y,catboost
N,Monthly,Y,N,catboost
A,daily,Y,Y,lgbm
A,daily,N,Y,lgbm
A,daily,Y,N,lgbm
A,Monthly_D,Y,Y,extra_tree
A,Monthly_D,N,Y,extra_tree
A,Monthly_D,Y,N,extra_tree
A,Monthly,Y,Y,xgboost
A,Monthly,N,Y,xgboost
A,Monthly,Y,N,xgboost
C,daily,Y,Y,lgbm
C,daily,N,Y,xgboost
C,daily,Y,N,lgbm
C,Monthly_D,Y,Y,catboost
C,Monthly_D,N,Y,extra_tree
C,Monthly_D,Y,N,extra_tree
C,Monthly,Y,Y,catboost
C,Monthly,N,Y,catboost
C,Monthly,Y,N,catboost