SpatialScale,TimeScale,Gas,AOD,R2,RMSE,MAE
E,daily,Y,Y,0.74,4.84,3.57
E,daily,N,Y,0.59,6.11,4.29
E,daily,Y,N,0.68,5.37,4.07
E,Monthly_D,Y,Y,0.85,2.98,2.19
E,Monthly_D,N,Y,0.61,4.77,3.06
E,Monthly_D,Y,N,0.83,3.15,2.59
E,Monthly,Y,Y,0.93,2.07,1.54
E,Monthly,N,Y,0.76,3.77,2.58
E,Monthly,Y,N,0.88,2.61,2.04
S,daily,Y,Y,0.72,3.71,2.85
S,daily,N,Y,0.61,4.38,3.37
S,daily,Y,N,0.55,4.66,3.62
S,Monthly_D,Y,Y,0.56,3.06,2.44
S,Monthly_D,N,Y,0.45,3.46,2.83
S,Monthly_D,Y,N,0.35,3.75,3.14
S,Monthly,Y,Y,0.63,2.84,2.24
S,Monthly,N,Y,0.59,2.99,2.5
S,Monthly,Y,N,0.58,2.99,2.48
W,daily,Y,Y,0.71,5.6,3.81
W,daily,N,Y,0.64,6.33,4.37
W,daily,Y,N,0.44,7.82,5.67
W,Monthly_D,Y,Y,0.72,3.52,2.79
W,Monthly_D,N,Y,0.58,4.33,3.28
W,Monthly_D,Y,N,0.65,3.97,3.21
W,Monthly,Y,Y,0.87,2.46,1.96
W,Monthly,N,Y,0.86,2.5,1.81
W,Monthly,Y,N,0.73,3.49,2.87
N,daily,Y,Y,0.78,5.86,4.14
N,daily,N,Y,0.72,6.65,4.69
N,daily,Y,N,0.72,6.6,4.78
N,Monthly_D,Y,Y,0.72,4.9,3.72
N,Monthly_D,N,Y,0.34,7.56,5.57
N,Monthly_D,Y,N,0.88,3.29,2.48
N,Monthly,Y,Y,0.84,3.73,2.96
N,Monthly,N,Y,0.8,4.2,3.24
N,Monthly,Y,N,0.92,2.66,2.11
A,daily,Y,Y,0.88,4.86,3.29
A,daily,N,Y,0.86,5.3,3.55
A,daily,Y,N,0.82,6.03,4.15
A,Monthly_D,Y,Y,0.94,3.06,2.11
A,Monthly_D,N,Y,0.92,3.67,2.66
A,Monthly_D,Y,N,0.9,3.96,2.83
A,Monthly,Y,Y,0.96,2.64,1.88
A,Monthly,N,Y,0.94,2.99,2.15
A,Monthly,Y,N,0.93,3.39,2.38
C,daily,Y,Y,0.82,5.27,3.71
C,daily,N,Y,0.74,6.31,4.48
C,daily,Y,N,0.71,6.71,4.84
C,Monthly_D,Y,Y,0.84,3.92,3.05
C,Monthly_D,N,Y,0.76,4.78,3.73
C,Monthly_D,Y,N,0.82,4.11,3.15
C,Monthly,Y,Y,0.9,3.14,2.48
C,Monthly,N,Y,0.88,3.39,2.66
C,Monthly,Y,N,0.89,3.21,2.52