SpatialScale,TimeScale,Gas,R2,RMSE,MAE
E,daily,Y,0.58,6.18,4.4
E,daily,N,0.4,7.38,5.65
E,Monthly_D,Y,0.61,4.79,3.38
E,Monthly_D,N,-0.1,8,6.09
E,Monthly,Y,0.57,5.02,2.8
E,Monthly,N,0.53,5.24,3.3
S,daily,Y,0.47,5.1,4
S,daily,N,0.35,5.62,4.42
S,Monthly_D,Y,0.59,2.98,2.45
S,Monthly_D,N,0.37,3.67,2.85
S,Monthly,Y,0.52,3.22,2.68
S,Monthly,N,0.33,3.8,2.97
W,daily,Y,0.48,7.58,5.75
W,daily,N,0.25,9.1,6.7
W,Monthly_D,Y,0.45,4.98,4.25
W,Monthly_D,N,-0.46,8.1,6.64
W,Monthly,Y,0.51,4.68,3.89
W,Monthly,N,-0.05,6.86,5.42
N,daily,Y,0.51,8.8,6.74
N,daily,N,0.28,10.69,8.01
N,Monthly_D,Y,0.58,6.06,4.98
N,Monthly_D,N,0.03,9.16,7.85
N,Monthly,Y,0.56,6.21,5.11
N,Monthly,N,0.02,9.2,7.73
A,daily,Y,0.75,7.19,5.29
A,daily,N,0.67,8.19,6.01
A,Monthly_D,Y,0.79,5.8,4.52
A,Monthly_D,N,0.68,7.15,5.46
A,Monthly,Y,0.81,5.55,4.37
A,Monthly,N,0.71,6.74,5.09
C,daily,Y,0.57,8.12,6.18
C,daily,N,0.43,9.38,7.01
C,Monthly_D,Y,0.58,6.35,5.01
C,Monthly_D,N,0.27,8.36,6.89
C,Monthly,Y,0.61,6.1,4.87
C,Monthly,N,0.38,7.74,6.29